题号,题干,A,B,C,D,E,答案,难度,题型
47,"距今 5000 年左右，各地出现复杂的社会组织和建立在血缘基础上的政治共同体，中华文明（	），进入万邦林立的“古国文明”阶段。",接续发展,正式形成,初见雏形,尚在发育,,B,无,单选题
48,"距今 4300 年前后，（	）的中原“古国”崛起，加速了中华民族社会一体化进程。",黄河中游,淮河流域,长江下游,汉江流域,,A,无,单选题
49,"距今 1 万年左右，长江下游地区和华北山麓地带的中华先民率先进入（	），磨制石器、陶器以及明显的农业与定居迹象出现了。",新石器时代,旧石器时代,王国时代,邦国时代,,A,无,单选题
50,（ ）创造出了一套包括玉琮、玉钺、玉璧在内的玉礼器系统。以其为载体的精神信仰已得到了全社会的广泛认同，同时，这也显示出一种建立在等级分化基础之上的规范化用玉制度业已形成。,良渚先民,红山文化先民,江西仙人洞先民,浙江上山先民,,A,无,单选题
51,"距今约 4100 年前，（	）的建立标志着万千邦国族属进一步汇聚交融的新起点？",商王朝,秦王朝,夏王朝,周王朝,,C,无,单选题
52,"下列说法正确的是（	）。",中华文明和中华民族多元一体格局可以追溯到遥远的史前时期,随着农业、制陶技术的发展，人口激增，定居聚落产生，为早期中华文化圈的孕育准备了条件,中华文化圈的起源和早期发展过程，就是中华民族共同体的起源和早期发展过程,新石器时代不同文化区之间并未发生交流,,ABC,无,多选题
53,"以下哪些属于史前时期中华文明的技术创新？（	）",复合陶范铸铜器技术,制玉和制酒技术,农作物的驯化,铁制农具革新,陶器的发明,ABCE,无,多选题
54,"以下哪些神话故事，彰显出中华先民的创新意识和创新能力？（	）",仓颉造字,神农尝百草,大禹治水,燧人取火,,ABCD,无,多选题
55,"以（	）为核心的文化互动圈，具有强烈辐射力，今天的西藏、新疆、内蒙古东部、东",淮河流域,黄河中下游,长江中下游,汉水流域,,BC,无,多选题
56,"我国将夏朝之前称为“史前时代”或“史前时期”，它包括以打制石器为特征的（	）和以磨制石器为特征的（	）。",旧石器时代,后石器时代,前石器时代,新石器时代,,AD,无,多选题
57,"伟大祖国拥有连续不断的（	）。",两千年民族史,五千多年文明史,一万年文化史,百万年人类史,,BCD,无,多选题
58,"哪些是早期中华文化圈形成与发展的重要因素？（	）",政治共同体的建立,苏美尔文明的入侵,人口激增与定居聚落的产生,形成了一定范围的文化区和区域交流,农业技术的发展,ACDE,无,多选题
59,"商朝的甲骨文主要用于记载（	）。",占卜内容,历史事件,法律条文,文学作品,,A,无,单选题
60,周朝为了建立稳定的政治秩序，实行（ ），册命了数量众多的诸侯，分赴各地建立邦国。,册封制,册命制,均田制,分封制,,D,无,单选题
61,"战国时期，（	）最终实现了天下一统。",赵国,秦国,楚国,齐国,,B,无,单选题
62,"华夏共同体的基本框架在（	）确立。",秦汉时期,夏商周时期,春秋时期,战国时期,,B,无,单选题
63,"周人用（	）将天下各族融合为一个政治实体，以“天命之转移”解释王朝更替。",“华夷观”,“天人合一观”,“天下观”,“天命观”,,D,无,单选题
64,商朝“王畿”之外是“四土”，包括（ ）。,东土,西土,南土,北土,,ABCD,无,多选题
65,“周道”覆盖范围包括（ ）活跃的区域。,“东夷”,“西戎”,“南蛮”,“北狄”,,ABCD,无,多选题
66,"商朝和西周都实行（	），各族群间的交往交流不断加深。",灵活开放的族群治理政策,分封制,文化融合,社会大融合,,AB,无,多选题
67,下列表述正确的是（ ）。,在中原核心区，分布着诸多不同族源的邦国，自称为“夏”或“华”，形成了具有共同文化认同的“诸夏”,春秋战国时期，分裂带来的战乱让“统一”越发成为各邦族的共同追求,夏商周三代，王朝疆域逐步缩小,经由夏商周三代不断治理与巩固，中原地区成为中华文明的核心区,,ABD,无,多选题
68,"东周是历史上群雄争霸追求一统的动荡时期，大致分为（	）时期。",战国,殷商,春秋,北魏,,AC,无,多选题
69,"西周时期，（	）等措施促进了华夏共同体的发展。",周礼秩序,“周道”路网,分封制,严格的族群隔离政策,跨族群通婚,ABCE,无,多选题
70,"黄帝成为各族“共祖”说明了（	）。",各族群的文化认同,文化同质化,族群间的血缘融合,华夏共同体的形成,政治统一的需要,ACD,无,多选题
71,"（	）指将郡国给朝廷的贡品交由均输官转运各地贩卖，以此增加政府收入。",保甲法,平准法,均输法,青苗法,,C,无,单选题
72,"汉朝的建立者是（	）。",刘邦,刘秀,秦始皇,王莽,,A,无,单选题
73,"（	）是将皇族女性嫁给对方，以改善双方关系的一种政治结盟方式。",“朝贡”,“和亲”,“纳质”,“册封”,,B,无,单选题
74,"汉武帝推行“推恩令”的直接目的是(	)。",剥夺封国封地,分散封国力量,加强诸侯势力,收回封国官吏任免权,,B,无,单选题
75,秦统一后，非常重视规范社会风俗，推动（ ），用统一的伦理纲常规范各地民众行为，从而达到“六合同风，九州共贯”之效。,“车同轨”,“行同伦”,“书同文”,“量同衡”,,B,无,单选题
76,"秦汉大一统政权在东汉后期开始衰落，但秦汉制度与文化 400 余年的浸润与辐射，创造了任何政治军事分裂都无法动摇的中华认同，开启了迁徙族群（	）进程。",“去中心化”,“汉化”,“中华化”,“中心化”,,C,无,单选题
77,"六国一统后，建立了中国历史上第一个中央集权的大一统王朝，这个王朝被称为（	）。",秦朝,周朝,汉朝,商朝,,A,无,单选题
78,"秦汉社会生活的重塑源自社会基层组织的重组，(	)发挥着至关重要的作用。",“编户齐民”制度,均田制,保甲制度,井田制,,A,无,单选题
79,"秦汉时期，以下哪些措施对后世大一统王朝产生了深远影响？（	）",活跃关市,修建道路,统一货币,以上所有选项,,D,无,单选题
80,两汉时，（ ）因讳刘邦之名改称“属国”。,“邦国”,“臣邦”,“封国”,“属邦”,,D,无,单选题
81,"秦朝统一后，推行的政策中不包括（	）。",车同轨,量同衡,行同语,书同文,,C,无,单选题
82,后世常常用（ ）来形容天下统一、社会大治，就在于秦汉时期的这一文教政策推动并彰显了大一统政治建构，对形成中华民族共同的文化心理产生了深远影响。,“量同衡”,“书同文”,“行同伦”,“车同轨”,,B,无,单选题
83,"秦汉建立的中央集权（	），奠定了大一统的制度基础。",行省制,州郡制,分封制,郡县制,,D,无,单选题
84,中华大地上不同区域、不同族源、不同风俗文化的多个古代人群融为一体，“各地文化共塑中原文化、中原文化反哺各地文化”的（ ）模式奠定了历代多民族大一统王朝的文化发展路径。,秦汉,隋唐,夏商,商周,,A,无,单选题
85,"秦代规格最高的道路是（	）。",驰道,五尺道,驿道,直道,,A,无,单选题
86,"秦朝通过推行（	）的治理体系，构筑了各民族交往交流交融的历史主基调。",书同文,量同衡,行同伦,车同轨,,ABCD,无,多选题
87,"下列说法正确的是（	）。",秦朝建立书同文、车同轨、量同衡、行同伦的国家治理体系,秦汉建立并巩固了中央集权制度体系，设置由中央政府直接管理的郡县,汉朝确立了以儒家思想为主导的国家文化形态,正是在秦汉时期，中华大地上不同区域、不同族源、不同风俗文化的多个古代人群融为一体，“自在的”中华民族开始形成,,ABCD,无,多选题
88,"秦汉时期，以下哪些措施有助于加强中央集权？（	）",增加地方自治权,统一货币、法律,修建道路,推行郡县制,实行分封制,BCD,无,多选题
89,"汉朝汲取七国所长，将(	)等融为一体，最终形成稳定的大一统制度体系，奠定了两千余年统一王朝的基本法度，并塑造了中华民族独特的社会和文化结构。",燕赵的军事制度,楚国的文化艺术,鲁国的儒家思想,齐国的黄老之术与管子的经济思想,韩魏的纵横刑名,ABCDE,无,多选题
90,"以下哪些地区被纳入了秦朝的疆域？（	）",印度半岛,甘肃东部及四川、云南等地,蒙古高原南缘,日本群岛,朝鲜半岛西北部,BCE,无,多选题
91,"(	)是魏晋南北朝时期的历史主流。",“华夷化”,“中国化”,“中华化”,“夷狄化”,,C,无,单选题
92,在法治思想上，北魏律也深受汉代以来（ ）趋势之影响，遵循汉魏以来礼法结合的精神，具有鲜明的礼的色彩。,伊儒会通,儒法合流,儒释合流,道法合流,,B,无,单选题
93,"不属于魏晋南北朝时期北方族群融合结果的是（	）。",胡汉杂居,诸胡杂居,政治分裂,族群结构变化,,C,无,单选题
94,"所谓（	），是指统治者无论华夷，只要敬德保民就能获得天命。",五行学说,五德终始说,天人合一论,天命授受论,,D,无,单选题
95,"北魏统一北方是在（	）年。",484,439,493,577,,B,无,单选题
96,魏晋南北朝时期（ ）兴盛，我们熟知的大同云冈石窟、洛阳龙门石窟、敦煌莫高窟等都是从魏晋南北朝时期开始开凿的。,道教,儒教,伊斯兰教,佛教,,D,无,单选题
97,"魏晋南北朝时期文化交融的体现不包括（	）。",道教的发展,儒家文化的衰退,胡汉文化的交融,佛教的流行,,B,无,单选题
98,401 年，（ ）历经千辛万苦来到长安，建立译场，译佛经数百卷。他和南朝真谛、唐朝玄奘并称为我国佛教三大翻译家。,佛图澄,鸠摩罗什,慧远,陈诚,,B,无,单选题
99,"不属于魏晋南北朝时期北方族群融合政权的是（	）。",北魏,前秦,西晋,后赵,,C,无,单选题
100,"魏晋南北朝时期大约持续了（	）年。",近 370 年,近 600 年,近 200 年,近 500 年,,A,无,单选题
101,魏晋南北朝时期是多政权对峙时期，但（ ）和文化交融是这一时期发展的时代特色。,战乱冲突,族群矛盾,族群交融,社会分化,,C,无,单选题
102,"魏晋以来，大量北方族群南迁，深入中原地区，突破了（	）的地理畛域，打破了“裔不谋夏，夷不乱华”的中心与边缘的分布格局。",内诸夏而外夷狄,夷夏之变,夷夏同源,夷狄不入中原,,A,无,单选题
103,"所谓（	），是按照五行相生之说，用木、火、土、金、水五德循环来推演王朝历运行次的理论。",“五行学说”,“天命授受论”,“五德终始说”,“天人合一论”,,C,无,单选题
104,"“五胡”入华与中华民族大交融主要发生在（	）时期。",魏晋南北朝时期,秦汉时期,宋元时期,隋唐时期,,A,无,单选题
105,"为解决“自古无胡人为天子者”这一根深蒂固的观念，掌握政权之后的胡人君主主动认同华夏祖源，确立了脉络清晰的（	）历史叙事。",胡汉交融,夷夏同源,同文同种,同宗共祖,,B,无,单选题
106,尽管对立政权互相攻伐引发的战争给天下百姓带来深重苦难和精神创伤，但南北各政权,对大一统的追求,对中华正统的竞逐,对中华文化的认同,对夷夏之分的重视,,ABC,无,多选题
107,"“五胡”建立的政权都经历了（	）的中华化的进程。",“礼法”治国,“经史”记国,“郡县”理国,“汉号”立国,,ABCD,无,多选题
108,"魏晋南北朝时期文化发展的特点包括（	）。",佛教与儒家忠孝伦理的冲突与融合,族群文化的单向传播,儒释道文化的交融,多族群共享宗教信仰的形成,夷夏共祖的历史书写,ACDE,无,多选题
109,"下列关于魏晋南北朝时期的表述正确的是（	）。",各政权在“中华正统”的竞争之下，政治制度与政治文化趋同，进一步扩大了“中华”认同的范围,中原王朝赐予胡人首领爵位、封号等方式，也被当时的胡人政权所承袭,“五胡”政权由多族群参与，建有胡汉杂糅的官僚体制,“五胡”首领建国时主动采纳汉式国号，并不突出“族性”，体现出“五胡”自觉认同与继承中华文明,,ABCD,无,多选题
110,"拓跋鲜卑建立的北魏政权及其后继者（西魏-北周）更以改革创新精神，融合胡汉，开启了(	)等体现大一统精神的制度革新。",分封制,府兵制,三长制,均田制,,BCD,无,多选题
111,"“五胡”政权实行的人口政策，是更彻底的（	）。",大分散,大融合,大编户,大迁徙,,BCD,无,多选题
112,"下列选项中属于魏晋南北朝时期社会变迁中的结构重组的是（	）。",南北族群的双向迁徙,社会阶层结构与基层组织结构的大调整,南方族群的编户化,政治统一,北方部落制的解体,ABC,无,多选题
113,"隋唐的（	）制度，打破了门阀士族对人才的垄断和限制，为促进各族人才参与国家治理发挥了积极作用。",府兵制,科举制,租庸调制,均田制,,B,无,单选题
114,"安史之乱揭示出，要实现民族不可散，首先要实现国家不可乱；要实现国家不可乱，首要是维护（	）不可变。",封建统治,中央集权,大一统体制,君主专制,,C,无,单选题
115,"唐代前期，（	）的族群观逐渐被“安辑夷夏，九服同轨，六合一家”的族群观取代。",华夷一体,华夷之辨,中外一家,严夷夏之防,,D,无,单选题
116,"隋唐大一统政治体制的重构，强化了不同区域间的经济联系，呈现出（	）的特征。",胡汉一家,华夷共生,中外会通,天下共主,,B,无,单选题
117,"隋唐结束了魏晋以来政治分裂、社会动荡的乱局，重建了（	）的政治秩序，大一统的特征更为凸显。",天下共主,天下共君,天下共王,天下共存,,A,无,单选题
118,"均田制和租庸调制的推行极大地推动了北方内迁各族从（	）转化。",游牧向农耕,手工业向农业,农耕向游牧,游牧向手工业,,A,无,单选题
119,"隋唐王朝之所以能够成功重建中华一体的共同体，正是源于北朝与南朝文化的混合。隋唐总体上继承了北朝的“制度”与南朝的（	）。",“礼乐”,“风俗”,“文化”,“思想”,,A,无,单选题
120,"（	）是由回纥等草原族群主动要求开辟的。在这条道路上，唐朝共设置 68 个驿站，各驿站配备马匹和食物，方便驿使高效通往。",参天可汗道,丝绸之路,茶马古道,驿道,,A,无,单选题
121,"在唐王朝的支持下，（	）合六诏为一，统一洱海地区。",吐蕃,高句丽,南诏,渤海,,C,无,单选题
122,"（	）兼顾各个族群发展程度的不同和治理方式的差异，加强了中央对地方的行政管辖，对内地边疆一体化治理和族群交往交流交融起到推动作用。",均田制,租庸调制,郡县制,羁縻府州制,,D,无,单选题
123,"文成公主被派往（	）和亲。",突厥,吐蕃,蒙古,匈奴,,B,无,单选题
124,"唐朝时期，通过（	），将天下各族的有才之士汇聚到中央政府及其下辖的各级行政军事机构，为大一统王朝政治运行提供重要保障。",胡汉兼用的官僚体制,因俗而治,都护府制度,羁縻制度,,A,无,单选题
125,"在青藏高原，建立了统一吐蕃政权的松赞干布，主动与唐朝交往交流，以（	）等多种方式增进联系，互鉴交融。",纳质,榷场,和亲,战争,,C,无,单选题
126,"属于唐朝与周边族群交流方式的是（	）。",朝贡,战争,贸易,和亲,会盟,ABCDE,无,多选题
127,"隋唐五代，不同区域间社会经济文化交流频繁活跃，具体表现包括（	）。",唐朝时期，汉文在西域已成为一种盛行的语言文字,胡汉互鉴、胡风浸染,兼爱夷夏,唐蕃互动,,ABCD,无,多选题
128,"为恢复社会经济，唐武德七年（624），颁布了（	），以促进生产及保证租税的收入。",均田令,租庸调法,编户齐民,方田均税法,,AB,无,多选题
129,"属于唐朝时期文化交融表现的是（	）。",景教在中国的传播,服饰风格的交融,胡旋舞的流行,唐诗的题材扩展,,ABCD,无,多选题
130,"唐代，经济贸易繁荣离不开道路的修建。唐代，四通八达的道路网络包括（	）。",西南地区的五尺道和旄牛道,贯穿岭南的商路,通往中西亚的陆上丝绸之路,大运河,,ABCD,无,多选题
131,"辽宋夏金时期是中国向（	）发展的重要阶段。不同政权对“中国”的认同，为后来元朝重建大一统国家奠定了坚实的政治和文化认同基础。",一元,一体,离散,多元,,B,无,单选题
132,"正是由于辽朝、西辽的巨大影响及其对“中国”的认同，俄罗斯和中亚地区至今还以（	）指称中国。",“四海”,“契丹”,“中州”,“华夏”,,B,无,单选题
133,"高昌回鹘和于阗，上自王公贵族、下至底层民众，普遍信仰（	）。",伊斯兰教,儒教,道教,佛教,,D,无,单选题
134,"辽朝是由（	）耶律阿保机建立的。",女真人,党项人,契丹人,汉人,,C,无,单选题
135,"辽朝制度承续“中国”正统，在官制方面，将（	）和原有的部族制相结合，形成“官分南、北”的二元制，最终确立了中央集权制。",府兵制,土司制,州县制,行省制,,C,无,单选题
136,"（	）始终贯穿辽宋夏金时期历史发展的全过程，各政权为恢复大一统秩序而展开的一系列政治军事活动和社会文化事业，有力推动了边疆地区与中原地区的一体化整合。",离散性运动,重复运动,往复运动,内聚性运动,,D,无,单选题
137,"宋朝文学家在“唐宋八大家”中占有（	）。",六席,五席,四席,七席,,A,无,单选题
138,"山西朔州的佛宫寺释迦塔又称（	），始建于辽清宁二年，是我国现存建造最早且唯一的纯木构大塔，也是世界现存最高的古代木构建筑。",飞云楼,应县木塔,飞虹塔,千寻塔,,B,无,单选题
139,"辽宋夏金时期，（	）成为通用文字，一些政权还借鉴汉字创造文字，翻译儒家经典，进一步夯实了文化认同的基础。",西夏文,女真大字,汉字,契丹大字,,C,无,单选题
140,西夏仿汉字（ ）创制了西夏文。,甲骨文,小篆,隶书,六书,,D,无,单选题
141,"相传为南宋岳飞所写的（	），充盈着至死不灭“还我河山”的热望。",《木兰花》,《满江红》,《蕙香囊》,《题临安山水》,,B,无,单选题
142,"辽宋夏金时期，（	）成为凝聚各族群的共有精神纽带。",儒家思想,伊斯兰教思想,佛教思想,道教思想,,A,无,单选题
143,"澶渊之盟后，辽宋互称（	），“义同一家”，以兄弟相称。",“同盟”,“中国”,“南北朝”,“正统”,,C,无,单选题
144,"信仰伊斯兰教的喀喇汗王朝不仅称宋、辽为（	），其君主还自称桃花石汗。",“诸夏”,“中华”,“华夏”,“中国”,,D,无,单选题
145,"（	）货币流通于同一时期。",熙宁元宝,正隆元宝,五铢钱,光定元宝,统和元宝,ABDE,无,多选题
146,在辽、西夏、金的统治区域扩大而壮大农耕经济之前，契丹、党项、女真族群，早期都以,采集,游牧,渔猎,水培,农耕,BC,无,多选题
147,"辽宋夏金时期中华民族共同体的经济特征包括（	）。",农牧渔猎混合经济愈发普遍，经济生活方式多元化,“宋钱”在诸政权间流通广泛，促进了各政权的经济交融,各区域经济冲破政权并立的阻碍，形成互补共生的经济框架,官方主导的榷场贸易和民间走私活动频发，增强了经济生活的共同性和互补性,完全排斥外来文化，坚持封闭的自然经济,ABCD,无,多选题
148,辽宋夏金的“中国”认同，在制度实践上集中体现为共同遵循“中国之制”，即在（）等方面，继承隋唐以来的中华传统政治制度，为后世大一统行政制度的发展奠定基础。,律法,科举,礼制,行政,官制,ABCDE,无,多选题
149,辽宋夏金时期，诸政权的“战”是统一之战，“和”是（）之和。,“大一统”,“君臣”,“兄弟”,“甥舅”,,BCD,无,多选题
150,"元朝疆域一度最北至（	）。",渤海诸岛,琉球,蒙古草原,北海测影所,,D,无,单选题
151,"元朝结束了中华大地自唐末以来南北对峙长达数个世纪的分治局面，形成了（	）的中华民族发展新局面。",混一南北，胡汉一家,大分散、小聚居,多元一体,天下一家,,A,无,单选题
152,"终结辽宋夏金各政权分裂局面，最终再次实现大一统的，是由（	）奠定的蒙古汗国及其继承者（	）缔造的元朝。",忽必烈 铁木真,忽必烈 窝阔台,窝阔台 蒙哥,铁木真 忽必烈,,D,无,单选题
153,"从元朝开始，（	）正式纳入中央政府行政管辖范围。",岭南,福建,西藏,新疆,,C,无,单选题
154,"元朝在中央设置总制院，后改称（	），统管西藏和全国佛教事务。",宣政院,理藩院,北庭都元帅府,宣慰司,,A,无,单选题
155,"下列关于元朝说法错误的是（	）。",元朝是中国历史上首个由北方草原民族建立的完全统一中国的大一统王朝,元朝结束了中华大地自唐末以来南北对峙长达数个世纪的分治局面,多元一体的中华文明继续壮大，长期存在的夷夏对立观念仍是主流,中国历史的发展道路跳出了之前几度出现的“分久必合，合久必分”的传统轨迹,,C,无,单选题
156,"（	）的大量内迁是元代各族群跨地域分布杂居的典型代表，今北京海淀的魏公村即得名于元代该族群人聚居的村落。",契丹人,党项人,畏兀儿人,女真人,,C,无,单选题
157,"元朝时期，（	）被尊为“成吉思汗”。",窝阔台,忽必烈,蒙哥,铁木真,,D,无,单选题
158,"元朝在草原地区实行的（	）增强了北部边疆对统一多民族国家的政治向心力。",宗法制,行省制,分封制,郡县制,,B,无,单选题
